text,label
URGENT: Your account has been suspended. Click here to verify your identity: http://secure-update-login.com,Fraud
"Congratulations! You've won a $1,000 Walmart gift card. Claim it now at http://walmart-prizes.com/claim",Fraud
Your bank account is temporarily blocked. Please update your KYC instantly clicking the link below.,Fraud
"Dear customer, your card will be blocked today. Click the link to update your PAN card.",Fraud
You have an undelivered package from USPS. Click here to pay the $2.99 shipping fee.,Fraud
Someone tried to log into your Instagram. Click here to secure your account: http://insta-secure-login.com,Fraud
Investment opportunity! Double your money in 24 hours. Send Bitcoin to this address.,Fraud
Your PayPal account is limited. Please provide your SSN to restore full access.,Fraud
Please share the OTP you just received to verify your identity.,Fraud
I'm stuck in another country and lost my wallet. Please wire me $500 immediately.,Fraud
Your Netflix subscription has expired. Click here to renew and avoid service interruption.,Fraud
You have a refund pending from IRS. Click here to claim your money.,Fraud
A virus has been detected on your computer. Call Microsoft support immediately at 1-800-XXX.,Fraud
Important: Document attached for your review. Please open the attached invoice.exe.,Fraud
Claim your free iPhone 15 now! Limited time offer.,Fraud
Please pay your electricity bill immediately otherwise power will be disconnected at 9 PM.,Fraud
"Hello, I am a Prince from Nigeria and I need your help to transfer $10 million.",Fraud
Your Amazon account is locked due to suspicious activity. Verify here.,Fraud
We noticed an unusual login attempt on your Apple ID. Click to review.,Fraud
Your WhatsApp will expire today. Download the update from this link.,Fraud
You've been selected for a remote job earning $500/day. Pay a $50 registration fee.,Fraud
Your student loan has been forgiven. Click to confirm your details.,Fraud
We need you to verify your identity to process your tax refund.,Fraud
Click this link to get 50% off all designer bags.,Fraud
Update your banking details immediately to avoid account closure.,Fraud
Your credit score has dropped. Find out why here.,Fraud
Win a free vacation! Just fill out this quick survey.,Fraud
We detected unauthorized transactions on your account. Call us immediately.,Fraud
Your email account has exceeded its storage limit. Upgrade now.,Fraud
Get rich quick with our guaranteed investment plan.,Fraud
You are the lucky visitor! Claim your prize.,Fraud
Please confirm your shipping address for the package.,Fraud
Your antivirus software needs an urgent update.,Fraud
Click here to see pictures from the party last night.,Fraud
Verify your account to continue using our services.,Fraud
Your password will expire in 2 days. Change it now.,Fraud
You have a new voicemail. Listen to it here.,Fraud
Limited time offer: get a free $500 gift card.,Fraud
Your account has been flagged for abnormal activity.,Fraud
Important notice regarding your recent order.,Fraud
Please review the final legal documents attached.,Fraud
We are updating our terms of service. Please accept.,Fraud
Your subscription is about to end. Renew today.,Fraud
You have a missed call. Click to view details.,Fraud
Are you still using this account? Confirm to keep it active.,Fraud
Your payment was declined. Please update your billing info.,Fraud
You've received a secure message from your bank.,Fraud
Activate your new credit card now.,Fraud
Your flight has been cancelled. Click to rebook.,Fraud
Important information regarding your tax return.,Fraud
"Hey, are we still meeting tomorrow for lunch?",Safe
Can you pick up some milk on your way home?,Safe
The project deadline has been extended to Friday.,Safe
Thanks for the update. I will review the document and get back to you.,Safe
Happy birthay! Hope you have a great day.,Safe
What time is the team meeting scheduled for today?,Safe
I've attached the report for Q3.,Safe
Let's reschedule our call for next week.,Safe
Did you catch the game last night?,Safe
I'm running a few minutes late. See you soon.,Safe
Please find the requested file attached.,Safe
Can we discuss the new feature in our next standup?,Safe
Great job on the presentation today!,Safe
Don't forget to submit your timesheet.,Safe
Have a wonderful weekend!,Safe
I left my jacket at the office. Can you check if it's there?,Safe
The weather is really nice today.,Safe
Are you coming to the party tonight?,Safe
I'll call you back in 5 minutes.,Safe
Thanks for your help with the project.,Safe
Let me know if you need any further assistance.,Safe
I've approved the pull request.,Safe
What do you want for dinner?,Safe
Did you receive my email?,Safe
I'll be out of office next week.,Safe
Please review the code changes and provide feedback.,Safe
Let's try that new restaurant for lunch.,Safe
"I'm not feeling well, taking the day off.",Safe
Congratulations on your promotion!,Safe
Can you send me the link to the document?,Safe
I agree with your proposal.,Safe
When are you free for a quick chat?,Safe
The server is back online.,Safe
I'm working on the bug fix now.,Safe
Let's catch up later today.,Safe
Thanks for the quick response.,Safe
I'll take care of it.,Safe
Good morning! How are you doing?,Safe
Please let me know if you have any questions.,Safe
I'm looking forward to our meeting.,Safe
The deployment was successful.,Safe
Can you please turn off the lights when you leave?,Safe
I need a break. Going for a walk.,Safe
What's the status of the project?,Safe
I'll check the logs and get back to you.,Safe
Thanks for the heads up.,Safe
I'm on my way to the office.,Safe
Please pass the salt.,Safe
I'm done with my tasks for the day.,Safe
See you tomorrow.,Safe
